dataset,metric_source,num_cases,top1,top3,top5,recall_at_50,median_rank,mean_rank,mrr
DDD,original_hgnn_topk,761,0.31011826544021026,0.4296977660972405,0.47174770039421815,0.7529566360052562,5.0,36.78142857142857,0.39578642888136306
HMS,original_hgnn_topk,25,0.4,0.44,0.6,0.84,4.0,31.416666666666668,0.4669411446043026
LIRICAL,original_hgnn_topk,59,0.4576271186440678,0.5254237288135594,0.5254237288135594,0.847457627118644,2.0,21.666666666666668,0.5179709213957813
MME,original_hgnn_topk,10,0.8,0.8,0.8,1.0,1.0,3.8,0.8186335403726709
MyGene2,original_hgnn_topk,33,0.8484848484848485,0.8787878787878788,0.9090909090909091,0.9090909090909091,1.0,7.46875,0.8718037518037518
RAMEDIS,original_hgnn_topk,217,0.7695852534562212,0.8387096774193549,0.8847926267281107,0.9585253456221198,1.0,6.092592592592593,0.8170007183384147
mimic_test_recleaned_mondo_hpo_rows,original_hgnn_topk,1873,0.1575013347570742,0.24345969033635878,0.2984516817939135,0.5686065136145222,21.0,70.02149877149877,0.2261455322595684
ALL,original_hgnn_topk,2978,0.25889858965748824,0.35057085292142376,0.40094022834116855,0.6571524513096038,9.0,53.739782527184104,0.32949727413399393
DDD,candidate_recall_boost,761,0.36530880420499345,0.47963206307490147,0.5321944809461235,0.7897503285151117,3.0,29.018571428571427,0.4504771067528193
HMS,candidate_recall_boost,25,0.32,0.36,0.52,0.88,4.5,29.833333333333332,0.40911046770223236
LIRICAL,candidate_recall_boost,59,0.4915254237288136,0.5932203389830508,0.6101694915254238,0.8813559322033898,1.0,14.403508771929825,0.5661873772786641
MME,candidate_recall_boost,10,0.8,0.8,0.9,1.0,1.0,3.0,0.8305555555555555
MyGene2,candidate_recall_boost,33,0.696969696969697,0.8484848484848485,0.9090909090909091,0.9090909090909091,1.0,9.3125,0.7752267612357635
RAMEDIS,candidate_recall_boost,217,0.5944700460829493,0.7603686635944701,0.8617511520737328,0.9539170506912442,1.0,6.819444444444445,0.7026383702581107
mimic_test_recleaned_mondo_hpo_rows,candidate_recall_boost,1873,0.1388147357180993,0.22584089695675388,0.2813667912439936,0.5670048051254671,20.0,68.70331695331696,0.2109666929021012
ALL,candidate_recall_boost,2978,0.24680993955674949,0.3468770987239758,0.40530557421087976,0.6662189388851578,8.0,50.80614923134608,0.3250325977229261
