dataset,metric_source,num_cases,top1,top3,top5,recall_at_50,median_rank,mean_rank,mrr
DDD,original_hgnn_topk_any_label,761,0.3140604467805519,0.4323258869908016,0.4730617608409987,0.7529566360052562,5.0,36.52211126961483,0.39835809387767224
HMS,original_hgnn_topk_any_label,25,0.4,0.44,0.6,0.84,4.0,31.416666666666668,0.4669411446043026
LIRICAL,original_hgnn_topk_any_label,59,0.4576271186440678,0.5254237288135594,0.5254237288135594,0.847457627118644,2.0,21.666666666666668,0.5179709213957813
MME,original_hgnn_topk_any_label,10,0.8,0.8,0.8,1.0,1.0,3.8,0.8186335403726709
MyGene2,original_hgnn_topk_any_label,33,0.8484848484848485,0.8787878787878788,0.9090909090909091,0.9090909090909091,1.0,7.46875,0.8718037518037518
RAMEDIS,original_hgnn_topk_any_label,217,0.7695852534562212,0.8387096774193549,0.8847926267281107,0.9585253456221198,1.0,6.092592592592593,0.8170007183384147
mimic_test_recleaned_mondo_hpo_rows,original_hgnn_topk_any_label,1873,0.17351841964762413,0.2610784837159637,0.3214095034703684,0.602776294714362,19.0,64.70528211284514,0.24493260781648984
ALL,original_hgnn_topk_any_label,2978,0.2699798522498321,0.3623237071860309,0.41571524513096036,0.6786433848220282,8.0,50.6219512195122,0.34197048755921394
DDD,candidate_recall_boost_any_label,761,0.3692509855453351,0.48226018396846254,0.533508541392904,0.7910643889618922,3.0,28.726105563480743,0.4535001735458184
HMS,candidate_recall_boost_any_label,25,0.32,0.36,0.52,0.88,4.5,29.833333333333332,0.40911046770223236
LIRICAL,candidate_recall_boost_any_label,59,0.4915254237288136,0.5932203389830508,0.6101694915254238,0.8813559322033898,1.0,14.403508771929825,0.5661873772786641
MME,candidate_recall_boost_any_label,10,0.8,0.8,0.9,1.0,1.0,3.0,0.8305555555555555
MyGene2,candidate_recall_boost_any_label,33,0.696969696969697,0.8484848484848485,0.9090909090909091,0.9090909090909091,1.0,9.3125,0.7752267612357635
RAMEDIS,candidate_recall_boost_any_label,217,0.5944700460829493,0.7603686635944701,0.8617511520737328,0.9539170506912442,1.0,6.819444444444445,0.7026383702581107
mimic_test_recleaned_mondo_hpo_rows,candidate_recall_boost_any_label,1873,0.15162840363053925,0.2423918846769888,0.3005872931126535,0.601708489054992,18.0,63.596038415366145,0.22731685915700006
ALL,candidate_recall_boost_any_label,2978,0.2558764271323036,0.3579583613163197,0.4177300201477502,0.6883814640698456,8.0,47.829268292682926,0.33608847926251567
