dataset,split,n,top1,top3,top5,top10,top30,rank_le_50,median_rank,mean_rank,mrr,result_path
DDD,test_exact_baseline,761,0.3035479632063075,0.4296977660972405,0.46780551905387646,0.5466491458607096,0.671484888304862,0.7293035479632063,7.0,258.203679369251,0.3895593122766434,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
HMS,test_exact_baseline,25,0.36,0.44,0.56,0.64,0.72,0.76,4.0,86.12,0.4418447853098304,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
LIRICAL,test_exact_baseline,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,1.0,136.28813559322035,0.5736417063861152,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
MME,test_exact_baseline,10,0.8,0.9,0.9,0.9,0.9,0.9,1.0,11.7,0.8342767295597484,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
MyGene2,test_exact_baseline,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,1.0,17.393939393939394,0.8994543563272871,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
RAMEDIS,test_exact_baseline,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,1.0,3.76036866359447,0.836215000789485,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
mimic_test_recleaned_mondo_hpo_rows,test_exact_baseline,1873,0.19914575547250402,0.29738387613454353,0.34863854778430325,0.4180459156433529,0.5483182060864923,0.6294714361986119,20.0,412.56540309663643,0.27455045822134116,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
ALL,test_exact_baseline,2978,0.2857622565480188,0.3888515782404298,0.43552719946272667,0.5040295500335796,0.6215580926796508,0.6900604432505036,10.0,329.3918737407656,0.3610013570941371,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv
DDD,test_final_mixed,761,0.3639947437582129,0.4783180026281209,0.5177398160315374,0.5978975032851511,0.6964520367936925,0.7293035479632063,4.0,18.195795006570304,0.44650150259500226,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
HMS,test_final_mixed,25,0.36,0.44,0.56,0.64,0.72,0.76,4.0,86.12,0.4418447853098304,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
LIRICAL,test_final_mixed,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,1.0,136.28813559322035,0.5736417063861152,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
MME,test_final_mixed,10,0.8,0.9,0.9,0.9,0.9,0.9,1.0,11.7,0.8342767295597484,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
MyGene2,test_final_mixed,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,1.0,17.393939393939394,0.8994543563272871,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
RAMEDIS,test_final_mixed,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,1.0,3.76036866359447,0.836215000789485,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
mimic_test_recleaned_mondo_hpo_rows,test_final_mixed,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,15.0,3088.5467164975976,0.30592495799945685,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
ALL,test_final_mixed,2978,0.31296171927468097,0.4338482202820685,0.4832102081934184,0.5443250503693754,0.6497649429147079,0.7149093351242445,6.0,1951.1067830758898,0.3952852539768375,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv
