dataset,metric,mean,ci95_low,ci95_high,num_cases,high_variance
DDD,top1,0.3593876478318002,0.3265111695137976,0.39421813403416556,761,False
DDD,delta_top1,-0.016822601839684623,-0.03547963206307489,0.0,761,False
DDD,top3,0.48125361366622865,0.45134691195795007,0.5144875164257555,761,False
DDD,delta_top3,-0.016055190538764783,-0.02890932982917216,-0.0026281208935611255,761,False
DDD,top5,0.5205335085413928,0.48945466491458606,0.5552233902759527,761,False
DDD,delta_top5,-0.019942181340341654,-0.03547963206307492,-0.005256241787122251,761,False
HMS,top1,0.33008000000000004,0.13900000000000007,0.52,25,True
HMS,delta_top1,0.0,0.0,0.0,25,True
HMS,top3,0.40840000000000004,0.24,0.6,25,True
HMS,delta_top3,-0.038160000000000006,-0.12,0.0,25,True
HMS,top5,0.4859200000000001,0.28,0.68,25,True
HMS,delta_top5,0.0,0.0,0.0,25,True
LIRICAL,top1,0.5083050847457627,0.3809322033898305,0.6271186440677966,59,True
LIRICAL,delta_top1,0.0,0.0,0.0,59,True
LIRICAL,top3,0.6447118644067796,0.5254237288135594,0.7457627118644068,59,True
LIRICAL,delta_top3,0.0,0.0,0.0,59,True
LIRICAL,top5,0.6799661016949153,0.559322033898305,0.7966101694915254,59,True
LIRICAL,delta_top5,0.0,0.0,0.0,59,True
MME,top1,0.8990000000000001,0.7,1.0,10,True
MME,delta_top1,0.0,0.0,0.0,10,True
MME,top3,0.8990000000000001,0.7,1.0,10,True
MME,delta_top3,0.0,0.0,0.0,10,True
MME,top5,0.8990000000000001,0.7,1.0,10,True
MME,delta_top5,0.0,0.0,0.0,10,True
MyGene2,top1,0.8788484848484848,0.7575757575757576,0.9696969696969697,33,True
MyGene2,delta_top1,0.0,0.0,0.0,33,True
MyGene2,top3,0.8788484848484848,0.7575757575757576,0.9696969696969697,33,True
MyGene2,delta_top3,0.0,0.0,0.0,33,True
MyGene2,top5,0.8788484848484848,0.7575757575757576,0.9696969696969697,33,True
MyGene2,delta_top5,0.0,0.0,0.0,33,True
RAMEDIS,top1,0.7888663594470047,0.7327188940092166,0.8387096774193549,217,False
RAMEDIS,delta_top1,0.0,0.0,0.0,217,False
RAMEDIS,top3,0.8761566820276498,0.8294930875576036,0.9170506912442397,217,False
RAMEDIS,delta_top3,0.0,0.0,0.0,217,False
RAMEDIS,top5,0.9306912442396313,0.8940092165898618,0.9585253456221198,217,False
RAMEDIS,delta_top5,0.0,0.0,0.0,217,False
mimic_test_recleaned_mondo_hpo_rows,top1,0.213786438868126,0.19510144153764014,0.23331553657234383,1873,False
mimic_test_recleaned_mondo_hpo_rows,delta_top1,0.004975974372664175,0.0010678056593699803,0.010144153764014952,1873,False
mimic_test_recleaned_mondo_hpo_rows,top3,0.3415515216230646,0.31789909236518954,0.3628003203416978,1873,False
mimic_test_recleaned_mondo_hpo_rows,delta_top3,-0.00023278163374266047,-0.004271222637479977,0.004017618793379607,1873,False
mimic_test_recleaned_mondo_hpo_rows,top5,0.3986492258408969,0.37640149492792313,0.4204618259476775,1873,False
mimic_test_recleaned_mondo_hpo_rows,delta_top5,-0.0033625200213561134,-0.008288841430859596,0.0016017084890549982,1873,False
