dataset,case_hpo_bucket,gold_hpo_bucket,ic_overlap_bucket,seen_label,overlap_zero,num_rank_gt50_cases,mean_rank,mean_case_hpo_count,mean_gold_disease_hpo_count,mean_exact_overlap,mean_ic_weighted_overlap,mean_semantic_overlap,obsolete_mondo_rate,unmapped_mondo_rate
DDD,"(-inf,3]","(30,inf)","(0.5,inf)",True,False,8,1569.5,1.75,48.875,0.1625601711478703,0.9041615182245757,0.949937519698759,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.1,0.25]",True,False,8,768.75,13.0,50.0,0.14142792533429238,0.1725827054857099,0.47861475692976685,0.0,0.0
DDD,"(20,inf)","(15,30]","(0.1,0.25]",False,False,8,120.125,40.75,25.0,0.2502761941863281,0.15490861071427198,0.34118960968412015,0.0,0.0
DDD,"(20,inf)","(30,inf)","(0.25,0.5]",False,False,6,392.0,41.5,62.166666666666664,0.3048848639997508,0.3335196819632307,0.577664685120078,0.0,0.0
DDD,"(-inf,3]","(30,inf)","(0.25,0.5]",True,False,5,691.2,2.6,67.0,0.11069080352593037,0.35806884038640985,0.60046788008376,0.0,0.0
DDD,"(-inf,3]","(7,15]","(-inf,0]",True,True,5,791.0,2.0,10.8,0.0,0.0,0.5724930588325539,0.0,0.0
DDD,"(-inf,3]","(7,15]","(0.25,0.5]",True,False,5,647.2,2.4,11.2,0.23480946172262912,0.4354617443058559,0.7199410202799422,0.0,0.0
DDD,"(20,inf)","(30,inf)","(0.05,0.1]",False,False,5,844.4,46.0,63.8,0.10293982316210012,0.0641484173972236,0.45864831131154116,0.0,0.0
DDD,"(5,10]","(30,inf)","(0.1,0.25]",True,False,5,214.6,8.6,45.4,0.1285716913114941,0.16530524486782303,0.7197631605982726,0.0,0.0
DDD,"(-inf,3]","(15,30]","(0.25,0.5]",True,False,4,518.25,2.25,23.0,0.14250266801676134,0.3994560211265761,0.9082348407392782,0.0,0.0
DDD,"(-inf,3]","(3,7]","(0.1,0.25]",True,False,4,97.75,2.0,6.5,0.2779681882536187,0.23222659762731562,0.23222659762731562,0.0,0.0
DDD,"(20,inf)","(30,inf)","(0.1,0.25]",False,False,4,183.0,33.5,51.25,0.18819618747187766,0.16244723656636859,0.42936937208815845,0.0,0.0
DDD,"(3,5]","(15,30]","(0.1,0.25]",True,False,4,436.25,4.25,20.25,0.10944037129185542,0.15899097197751957,0.6160781719650323,0.0,0.0
DDD,"(5,10]","(15,30]","(0.25,0.5]",True,False,4,231.75,7.5,22.5,0.2994024360398027,0.3449615221447976,0.5363739515472968,0.0,0.0
DDD,"(5,10]","(30,inf)","(0.25,0.5]",True,False,4,2368.75,6.5,58.5,0.15754970776831714,0.3478484572794246,0.4977530593613082,0.0,0.0
DDD,"(5,10]","(7,15]","(-inf,0]",True,True,4,262.75,8.25,13.25,0.0,0.0,0.3355347277488709,0.0,0.0
DDD,"(-inf,3]","(15,30]","(-inf,0]",True,True,3,385.0,1.3333333333333333,26.666666666666668,0.0,0.0,0.0,0.0,0.0
DDD,"(-inf,3]","(15,30]","(0.5,inf)",True,False,3,267.3333333333333,2.0,24.666666666666668,0.2399101845947805,0.8511391831131374,0.8511391831131374,0.0,0.0
