dataset,bucket_type,bucket,num_cases,top1,top3,top5,top10,top50,median_rank,mean_rank,rank_le_50_count,rank_le_50_ratio,rank_gt_50_count,rank_gt_50_ratio,top50_rank_gt5_count,top50_rank_gt5_ratio,gold_not_in_candidate_pool_count,gold_not_in_candidate_pool_ratio
DDD,all,ALL,761,0.30223390275952694,0.44415243101182655,0.4967148488830486,0.5755584756898817,0.7450722733245729,6.0,271.9303547963206,567,0.7450722733245729,194,0.25492772667542707,189,0.2483574244415243,194,0.25492772667542707
DDD,seen_disease,seen,145,0.32413793103448274,0.4896551724137931,0.5724137931034483,0.6551724137931034,0.8413793103448276,4.0,101.71034482758621,122,0.8413793103448276,23,0.15862068965517243,39,0.2689655172413793,23,0.15862068965517243
DDD,seen_disease,unseen,616,0.29707792207792205,0.43344155844155846,0.4788961038961039,0.5568181818181818,0.7224025974025974,7.0,311.9983766233766,445,0.7224025974025974,171,0.2775974025974026,150,0.2435064935064935,171,0.2775974025974026
DDD,hpo_count,1-3,133,0.14285714285714285,0.2781954887218045,0.3082706766917293,0.39849624060150374,0.6165413533834586,27.0,503.0601503759398,82,0.6165413533834586,51,0.38345864661654133,41,0.3082706766917293,51,0.38345864661654133
DDD,hpo_count,4-6,126,0.30952380952380953,0.40476190476190477,0.46825396825396826,0.5634920634920635,0.7698412698412699,7.0,239.34126984126985,97,0.7698412698412699,29,0.23015873015873015,38,0.30158730158730157,29,0.23015873015873015
DDD,hpo_count,7-10,103,0.3106796116504854,0.46601941747572817,0.5631067961165048,0.6116504854368932,0.7378640776699029,4.0,311.70873786407765,76,0.7378640776699029,27,0.2621359223300971,18,0.17475728155339806,27,0.2621359223300971
DDD,hpo_count,>10,399,0.3508771929824561,0.506265664160401,0.5513784461152882,0.6290726817042607,0.7819548872180451,3.0,194.90977443609023,312,0.7819548872180451,87,0.21804511278195488,92,0.23057644110275688,87,0.21804511278195488
HMS,all,ALL,25,0.28,0.44,0.48,0.52,0.72,6.0,56.0,18,0.72,7,0.28,6,0.24,7,0.28
HMS,seen_disease,seen,25,0.28,0.44,0.48,0.52,0.72,6.0,56.0,18,0.72,7,0.28,6,0.24,7,0.28
HMS,hpo_count,7-10,8,0.375,0.5,0.5,0.625,0.875,4.0,25.625,7,0.875,1,0.125,3,0.375,1,0.125
HMS,hpo_count,>10,17,0.23529411764705882,0.4117647058823529,0.47058823529411764,0.47058823529411764,0.6470588235294118,11.0,70.29411764705883,11,0.6470588235294118,6,0.35294117647058826,3,0.17647058823529413,6,0.35294117647058826
LIRICAL,all,ALL,59,0.5254237288135594,0.5932203389830508,0.6779661016949152,0.711864406779661,0.7796610169491526,1.0,301.47457627118644,46,0.7796610169491526,13,0.22033898305084745,6,0.1016949152542373,13,0.22033898305084745
LIRICAL,seen_disease,seen,59,0.5254237288135594,0.5932203389830508,0.6779661016949152,0.711864406779661,0.7796610169491526,1.0,301.47457627118644,46,0.7796610169491526,13,0.22033898305084745,6,0.1016949152542373,13,0.22033898305084745
LIRICAL,hpo_count,1-3,1,0.0,0.0,0.0,0.0,1.0,13.0,13.0,1,1.0,0,0.0,1,1.0,0,0.0
LIRICAL,hpo_count,4-6,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,50.0,184.77777777777777,5,0.5555555555555556,4,0.4444444444444444,2,0.2222222222222222,4,0.4444444444444444
LIRICAL,hpo_count,7-10,11,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,6.636363636363637,10,0.9090909090909091,1,0.09090909090909091,0,0.0,1,0.09090909090909091
