gold_disease_id,gold_disease_name,predicted_disease_id,predicted_disease_name,ontology_relation,confusion_count,average_gold_rank,average_score_gap,average_top1_gold_jaccard,average_gold_query_ic,average_top1_query_ic
MONDO:0010717,pyruvate dehydrogenase E1-alpha deficiency,MONDO:0018651,obsolete lipoyl transferase 2 deficiency,unrelated_or_unknown,2,3.0,0.023700714111328125,0.14102564102564102,0.2933985707319663,0.1579996898845105
MONDO:0020242,hereditary macular dystrophy,MONDO:0018146,macular telangiectasia type 1,shared_ancestor,2,3.0,0.034925192594528254,0.04477611940298507,0.697543819218686,0.697543819218686
MONDO:0005129,cataract,MONDO:0013067,cataract 34 multiple types,candidate_descendant_of_gold,1,2.0,0.004597187042236328,0.1724137931034483,0.6074126128550745,0.6074126128550745
MONDO:0007039,NF2-related schwannomatosis,MONDO:0014630,familial adenomatous polyposis 3,shared_ancestor,1,2.0,0.014509260654449463,0.02702702702702703,0.8515956257927102,0.1254942131819456
MONDO:0007585,"exostoses, multiple, type 1",MONDO:0010846,"exostoses, multiple, type III",same_parent,1,2.0,0.002331376075744629,0.8461538461538461,0.3440353140361916,0.3012567277831272
MONDO:0007630,North Carolina macular dystrophy,MONDO:0018146,macular telangiectasia type 1,shared_ancestor,1,2.0,0.016370415687560924,0.5,0.395087638437372,0.395087638437372
MONDO:0007733,holoprosencephaly 3,MONDO:0007819,solitary median maxillary central incisor syndrome,candidate_descendant_of_gold,1,2.0,0.033873796463012584,0.13157894736842105,0.1528594040155048,0.6085082408303445
MONDO:0007986,metatropic dysplasia,MONDO:0008701,achondrogenesis type IA,shared_ancestor,1,2.0,0.004462778568267822,0.10204081632653061,0.2034916397569705,0.1066681877552409
MONDO:0008075,schwannomatosis,MONDO:0014299,LZTR1-related schwannomatosis,candidate_descendant_of_gold,1,2.0,0.0035343170166016735,0.23809523809523808,1.0,1.0
MONDO:0008209,Char syndrome,MONDO:0014213,CTCF-related neurodevelopmental disorder,shared_ancestor,1,2.0,0.017954885959625244,0.07738095238095238,0.3608537059303987,0.5463629361511129
MONDO:0008244,piebaldism,MONDO:0013201,Waardenburg syndrome type 4B,shared_ancestor,1,2.0,0.006793379783630371,0.2727272727272727,0.2923103880035297,0.1983589994820824
MONDO:0008318,Proteus syndrome,MONDO:0013125,CLAPO syndrome,same_parent,1,2.0,0.05438715219497681,0.07142857142857142,0.2294957940849758,0.146962589818582
MONDO:0008546,thanatophoric dysplasia type 1,MONDO:0008547,thanatophoric dysplasia type 2,same_parent,1,2.0,0.009530723094940186,0.5510204081632653,0.468564216646872,0.212175775298748
MONDO:0008612,tuberous sclerosis 1,MONDO:0013199,tuberous sclerosis 2,same_parent,1,2.0,0.004615306854248047,0.8048780487804879,0.7930464695219863,0.8271293598051436
MONDO:0008722,short chain acyl-CoA dehydrogenase deficiency,MONDO:0700250,"mitochondrial complex IV deficiency, nuclear type 1",shared_ancestor,1,2.0,0.0067806243896484375,0.06666666666666667,0.3149914236767505,0.1032757691714673
MONDO:0008767,neuronal ceroid lipofuscinosis 3,MONDO:0008769,neuronal ceroid lipofuscinosis 2,same_parent,1,2.0,0.03010892868041981,0.2571428571428571,0.9290515991776233,0.3485429396991377
MONDO:0008847,atrichia with papular lesions,MONDO:0007511,"ectodermal dysplasia, trichoodontoonychial type",shared_ancestor,1,2.0,0.06714504957199097,0.1111111111111111,0.3333333333333333,0.3333333333333333
MONDO:0008861,3-methylcrotonyl-CoA carboxylase 1 deficiency,MONDO:0009475,isovaleric acidemia,shared_ancestor,1,2.0,0.004210412502288818,0.28205128205128205,0.7968687928823829,0.380266097051513
MONDO:0008918,carnitine-acylcarnitine translocase deficiency,MONDO:0009282,multiple acyl-CoA dehydrogenase deficiency,shared_ancestor,1,2.0,0.02797001600265503,0.1282051282051282,0.3989304319621505,0.3591754545024102
MONDO:0009130,Dyggve-Melchior-Clausen disease,MONDO:0008477,"spondylometaphyseal dysplasia, Kozlowski type",shared_ancestor,1,2.0,0.01092994213104248,0.09375,0.2444977082797015,0.2146169626976804
MONDO:0009353,homocystinuria due to methylene tetrahydrofolate reductase deficiency,MONDO:0009609,methylcobalamin deficiency type cblG,shared_ancestor,1,2.0,0.006933867931365967,0.1527777777777778,0.5933780141787405,0.530508534742419
MONDO:0009561,alpha-mannosidosis,MONDO:0018149,GM1 gangliosidosis,same_parent,1,2.0,0.11211919784545898,0.12931034482758622,0.1641963915024918,0.2136568473398787
MONDO:0009603,3-hydroxyisobutyryl-CoA hydrolase deficiency,MONDO:0014314,sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,shared_ancestor,1,2.0,0.14832186698913574,0.027777777777777776,0.3204437671725441,0.1752676996699724
MONDO:0009728,nephronophthisis 1,MONDO:0013302,nephronophthisis 11,same_parent,1,2.0,0.019168853759765625,0.5,0.4243611104446378,0.3322841298886675
MONDO:0009746,hereditary sensory and autonomic neuropathy type 4,MONDO:0012092,hereditary sensory and autonomic neuropathy type 5,same_parent,1,2.0,0.0005021095275878906,0.0625,0.2559975493936273,0.1056832086061291
MONDO:0009968,"renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss",MONDO:0018440,autosomal recessive distal renal tubular acidosis,candidate_ancestor_of_gold,1,2.0,0.03148329257965088,0.5,0.6159368379301043,0.6159368379301043
MONDO:0010083,succinic semialdehyde dehydrogenase deficiency,MONDO:0012960,"intellectual disability, autosomal dominant 5",shared_ancestor,1,2.0,0.0005691051483154297,0.10909090909090909,0.2208857108050207,0.1855369275107165
MONDO:0010183,methylmalonic aciduria and homocystinuria type cblF,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,same_parent,1,2.0,0.0014655590057371937,0.25396825396825395,0.861085830694821,0.7052417632636375
MONDO:0010196,Werner syndrome,MONDO:0012590,XFE progeroid syndrome,same_parent,1,2.0,0.005789577960968018,0.044444444444444446,0.2848004030992623,0.0369975511253898
MONDO:0010211,xeroderma pigmentosum group C,MONDO:0010213,xeroderma pigmentosum group E,same_parent,1,2.0,0.016071319580078347,0.7058823529411765,0.8135802618783122,0.6970032850317732
MONDO:0010590,FG syndrome 1,MONDO:0010316,FG syndrome 3,same_parent,1,2.0,0.025225818157196045,0.023255813953488372,0.2798488283875291,0.0756016891979466
MONDO:0010649,isolated congenital megalocornea,MONDO:0016559,glaucoma secondary to spherophakia/ectopia lentis and megalocornea,shared_ancestor,1,2.0,0.028559565544128418,0.17391304347826086,0.5026881870590862,0.1521120281586729
