bucket,num_cases,ratio,interpretation,total_cases,median_rank_top50_capped,mean_rank_top50_capped,median_rank_full,mean_rank_full
rank = 1,230,0.30223390275952694,HGNN 已精确命中，非当前主要提升空间,761,6.0,18.846254927726676,6.0,271.9303547963206
rank <= 3,338,0.44415243101182655,top3 累计命中,761,6.0,18.846254927726676,6.0,271.9303547963206
rank <= 5,378,0.4967148488830486,top5 累计命中,761,6.0,18.846254927726676,6.0,271.9303547963206
rank <= 10,438,0.5755584756898817,少量重排即可进入可用诊断列表,761,6.0,18.846254927726676,6.0,271.9303547963206
rank <= 20,496,0.6517739816031537,top50 内排序提升的中短尾空间,761,6.0,18.846254927726676,6.0,271.9303547963206
rank <= 50,567,0.7450722733245729,candidate recall@50，上限为 top50 内 rerank 可达样本,761,6.0,18.846254927726676,6.0,271.9303547963206
rank > 50,194,0.25492772667542707,HGNN top50 candidate recall 未覆盖,761,6.0,18.846254927726676,6.0,271.9303547963206
gold absent from candidate universe,0,0.0,疾病索引/候选全集缺失,761,6.0,18.846254927726676,6.0,271.9303547963206
top50 but rank > 5,189,0.2483574244415243,核心 reranker 目标,761,6.0,18.846254927726676,6.0,271.9303547963206
top5 but not top1,148,0.19448094612352168,top1 排序损失，适合 evidence rerank,761,6.0,18.846254927726676,6.0,271.9303547963206
