rank_source,dataset,scoring_mode,n,top1,top3,top5,top10,top30,top50,mean_rank,median_rank,rank_le_50
exact_full_strict_primary,DDD,strict_primary,761,0.3035479632063075,0.4296977660972405,0.46780551905387646,0.5466491458607096,0.671484888304862,0.7293035479632063,258.203679369251,7.0,0.7293035479632063
exact_full_strict_primary,HMS,strict_primary,25,0.36,0.44,0.56,0.64,0.72,0.76,86.12,4.0,0.76
exact_full_strict_primary,LIRICAL,strict_primary,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,136.28813559322035,1.0,0.847457627118644
exact_full_strict_primary,MME,strict_primary,10,0.8,0.9,0.9,0.9,0.9,0.9,11.7,1.0,0.9
exact_full_strict_primary,MyGene2,strict_primary,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,17.393939393939394,1.0,0.9393939393939394
exact_full_strict_primary,RAMEDIS,strict_primary,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,3.76036866359447,1.0,0.9769585253456221
exact_full_strict_primary,mimic_test_recleaned_mondo_hpo_rows,strict_primary,1873,0.19914575547250402,0.29738387613454353,0.34863854778430325,0.4180459156433529,0.5483182060864923,0.6294714361986119,412.56540309663643,20.0,0.6294714361986119
exact_full_strict_primary,ALL,strict_primary,2978,0.2857622565480188,0.3888515782404298,0.43552719946272667,0.5040295500335796,0.6215580926796508,0.6900604432505036,329.3918737407656,10.0,0.6900604432505036
hgnn_top50_candidates,DDD,strict_primary,761,0.3035479632063075,0.4296977660972405,0.46780551905387646,0.5466491458607096,0.671484888304862,0.7293035479632063,270696458.00262815,7.0,0.7293035479632063
hgnn_top50_candidates,HMS,strict_primary,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
hgnn_top50_candidates,LIRICAL,strict_primary,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,152542378.77966103,1.0,0.847457627118644
hgnn_top50_candidates,MME,strict_primary,10,0.8,0.9,0.9,0.9,0.9,0.9,100000001.1,1.0,0.9
hgnn_top50_candidates,MyGene2,strict_primary,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,60606061.72727273,1.0,0.9393939393939394
hgnn_top50_candidates,RAMEDIS,strict_primary,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,23041477.00921659,1.0,0.9769585253456221
hgnn_top50_candidates,mimic_test_recleaned_mondo_hpo_rows,strict_primary,1873,0.19914575547250402,0.29738387613454353,0.34863854778430325,0.4180459156433529,0.5483182060864923,0.6294714361986119,370528570.6572344,20.0,0.6294714361986119
hgnn_top50_candidates,ALL,strict_primary,2978,0.2857622565480188,0.3888515782404298,0.43552719946272667,0.5040295500335796,0.6215580926796508,0.6900604432505036,309939562.9241101,10.0,0.6900604432505036
hgnn_top50_candidates,DDD,any_label,761,0.30486202365308807,0.43101182654402104,0.47174770039421815,0.5479632063074902,0.6727989487516426,0.7306176084099869,269382397.544021,7.0,0.7306176084099869
hgnn_top50_candidates,HMS,any_label,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
hgnn_top50_candidates,LIRICAL,any_label,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,152542378.77966103,1.0,0.847457627118644
hgnn_top50_candidates,MME,any_label,10,0.8,0.9,0.9,0.9,0.9,0.9,100000001.1,1.0,0.9
hgnn_top50_candidates,MyGene2,any_label,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,60606061.72727273,1.0,0.9393939393939394
hgnn_top50_candidates,RAMEDIS,any_label,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,23041477.00921659,1.0,0.9769585253456221
hgnn_top50_candidates,mimic_test_recleaned_mondo_hpo_rows,any_label,1873,0.21302722904431393,0.31607047517351844,0.3694607581420182,0.4426054458088628,0.5814201815269621,0.6636412172984517,336358789.8035238,16.0,0.6636412172984517
hgnn_top50_candidates,ALL,any_label,2978,0.29482874412357285,0.40094022834116855,0.4496306245802552,0.5198119543317663,0.6427132303559436,0.7118871725990598,288112833.7273338,9.0,0.7118871725990598
hgnn_top50_candidates,DDD,canonical_primary,761,0.3035479632063075,0.4296977660972405,0.46780551905387646,0.5479632063074902,0.6727989487516426,0.7306176084099869,269382397.56898814,7.0,0.7306176084099869
hgnn_top50_candidates,HMS,canonical_primary,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
hgnn_top50_candidates,LIRICAL,canonical_primary,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,152542378.77966103,1.0,0.847457627118644
hgnn_top50_candidates,MME,canonical_primary,10,0.8,0.9,0.9,0.9,0.9,0.9,100000001.1,1.0,0.9
