bucket_type,bucket,num_cases,baseline_top5,final_top5,top5_delta,baseline_rank_le_50,final_rank_le_50,rank_le_50_delta
exact_hpo_overlap_count_bucket,2-3,440,0.47954545454545455,0.5386363636363637,0.05909090909090914,0.75,0.7681818181818182,0.018181818181818188
exact_hpo_overlap_count_bucket,1,618,0.3673139158576052,0.42880258899676377,0.06148867313915857,0.6521035598705501,0.6909385113268608,0.03883495145631066
exact_hpo_overlap_count_bucket,0,687,0.1950509461426492,0.2692867540029112,0.07423580786026199,0.4890829694323144,0.5327510917030568,0.043668122270742404
exact_hpo_overlap_count_bucket,>3,128,0.5234375,0.5234375,0.0,0.796875,0.7578125,-0.0390625
case_hpo_count_bucket,>10,782,0.3631713554987212,0.4079283887468031,0.04475703324808189,0.6624040920716112,0.6777493606138107,0.01534526854219953
case_hpo_count_bucket,7-10,615,0.3544715447154472,0.4065040650406504,0.052032520325203224,0.6211382113821138,0.6601626016260163,0.039024390243902474
case_hpo_count_bucket,4-6,372,0.3118279569892473,0.4166666666666667,0.10483870967741937,0.6075268817204301,0.6424731182795699,0.034946236559139754
case_hpo_count_bucket,1-3,104,0.20192307692307693,0.28846153846153844,0.08653846153846151,0.4326923076923077,0.5096153846153846,0.07692307692307687
gold_in_top50_bucket,yes,1171,0.5456874466268147,0.6438941076003416,0.09820666097352693,1.0,0.9598633646456021,-0.04013663535439793
gold_in_top50_bucket,no,702,0.0,0.0,0.0,0.0,0.14814814814814814,0.14814814814814814
