row_type,scope,mode,k,num_cases,hit_rate
metric,all_cases,original_exact,1,1873,0.1777896422851041
metric,all_cases,original_exact,3,1873,0.28830752802989856
metric,all_cases,original_exact,5,1873,0.3411639081687133
metric,all_cases,original_exact,50,1873,0.6252002135611319
metric,all_cases,any_label,1,1873,0.19540843566470903
metric,all_cases,any_label,3,1873,0.31019754404698346
metric,all_cases,any_label,5,1873,0.36412172984516816
metric,all_cases,any_label,50,1873,0.6631073144687667
metric,single_label_subset,original_exact,1,1646,0.1913730255164034
metric,single_label_subset,original_exact,3,1646,0.30133657351154314
metric,single_label_subset,original_exact,5,1646,0.35297691373025514
metric,single_label_subset,original_exact,50,1646,0.6427703523693803
metric,multi_label_subset,original_exact,1,227,0.07929515418502203
metric,multi_label_subset,original_exact,3,227,0.19383259911894274
metric,multi_label_subset,original_exact,5,227,0.2555066079295154
metric,multi_label_subset,original_exact,50,227,0.4977973568281938
metric,multi_label_subset,any_label,1,227,0.22466960352422907
metric,multi_label_subset,any_label,3,227,0.3744493392070485
metric,multi_label_subset,any_label,5,227,0.44493392070484583
metric,multi_label_subset,any_label,50,227,0.8105726872246696
label_count_distribution,all_cases,,1,1646,0.8788040576615056
label_count_distribution,all_cases,,2,208,0.11105178857447945
label_count_distribution,all_cases,,3,19,0.01014415376401495
