section,num_cases,top1,top3,top5,rank_le_10,rank_le_20,rank_le_50,median_rank,mean_rank,gold_absent_from_top50_count,gold_absent_from_top50_ratio,gold_in_top50_but_rank_gt5_count,gold_in_top50_but_rank_gt5_ratio,gold_in_top5_but_not_top1_count,gold_in_top5_but_not_top1_ratio,rank_bin,count,ratio
summary,1873.0,0.1777896422851041,0.28830752802989856,0.3411639081687133,0.4217832354511479,0.4890549919914576,0.6252002135611319,22.0,416.3603844100374,702.0,0.37479978643886813,532.0,0.2840363053924186,306.0,0.16337426588360918,,,
histogram,,,,,,,,,,,,,,,,1,333.0,0.1777896422851041
histogram,,,,,,,,,,,,,,,,2-3,207.0,0.11051788574479444
histogram,,,,,,,,,,,,,,,,4-5,99.0,0.05285638013881474
histogram,,,,,,,,,,,,,,,,6-10,151.0,0.0806193272824346
histogram,,,,,,,,,,,,,,,,11-20,126.0,0.06727175654030966
histogram,,,,,,,,,,,,,,,,21-50,255.0,0.13614522156967432
histogram,,,,,,,,,,,,,,,,51-100,193.0,0.10304324612920449
histogram,,,,,,,,,,,,,,,,101-500,308.0,0.16444207154297918
histogram,,,,,,,,,,,,,,,,>500,201.0,0.10731446876668446
