mondo_label,normalized_label,in_disease_index,in_disease_hyperedge,is_obsolete_mondo,replacement_mondo,normalization_fix_possible,needs_manual_review
MONDO:0015305,MONDO:0015305,True,True,True,,False,True
MONDO:0015343,MONDO:0015343,True,True,True,,False,True
MONDO:0015490,MONDO:0015490,True,True,True,,False,True
MONDO:0015897,MONDO:0015897,True,True,True,MONDO:0001741,False,True
MONDO:0016234,MONDO:0016234,True,True,True,MONDO:0001256,False,True
MONDO:0016343,MONDO:0016343,True,True,True,,False,True
MONDO:0016428,MONDO:0016428,True,True,True,,False,True
MONDO:0016665,MONDO:0016665,True,True,True,,False,True
MONDO:0016667,MONDO:0016667,True,True,True,,False,True
MONDO:0016803,MONDO:0016803,True,True,True,,False,True
MONDO:0017131,MONDO:0017131,True,True,True,,False,True
MONDO:0017147,MONDO:0017147,True,True,True,MONDO:0001999,False,True
MONDO:0017154,MONDO:0017154,True,True,True,,False,True
MONDO:0017651,MONDO:0017651,True,True,True,,False,True
MONDO:0018157,MONDO:0018157,True,True,True,,False,True
MONDO:0019297,MONDO:0019297,True,False,False,,False,False
MONDO:0020078,MONDO:0020078,True,True,True,,False,True
MONDO:0020116,MONDO:0020116,True,True,True,MONDO:0001531,False,True
MONDO:0800029,MONDO:0800029,True,True,True,,False,True
