dataset,metric_source,cases,top1,top3,top5,rank_le_50,mean_rank,median_rank
DDD,original_single_label_exact,761,0.31011826544021026,0.4296977660972405,0.47174770039421815,0.7529566360052562,265.34034165571614,7.0
HMS,original_single_label_exact,25,0.4,0.44,0.6,0.84,58.0,4.0
LIRICAL,original_single_label_exact,59,0.4576271186440678,0.5254237288135594,0.5254237288135594,0.847457627118644,94.33898305084746,2.0
MME,original_single_label_exact,10,0.8,0.8,0.8,1.0,3.8,1.0
MyGene2,original_single_label_exact,33,0.8484848484848485,0.8787878787878788,0.9090909090909091,0.9090909090909091,25.060606060606062,1.0
RAMEDIS,original_single_label_exact,217,0.7695852534562212,0.8387096774193549,0.8847926267281107,0.9585253456221198,10.972350230414747,1.0
mimic_test_recleaned_mondo_hpo_rows,original_single_label_exact,1873,0.1575013347570742,0.24345969033635878,0.2984516817939135,0.5686065136145222,463.95141484249865,32.0
ALL,original_single_label_exact,2978,0.25889858965748824,0.35057085292142376,0.40094022834116855,0.6571524513096038,363.05137676292816,14.0
DDD_aligned_cases,aligned_normalized_label_exact,761,0.3114323258869908,0.4244415243101183,0.4704336399474376,0.7555847568988173,262.6452036793693,7.0
HMS_aligned_cases,aligned_normalized_label_exact,24,0.4166666666666667,0.4583333333333333,0.625,0.8333333333333334,59.666666666666664,4.5
LIRICAL_aligned_cases,aligned_normalized_label_exact,59,0.4576271186440678,0.5254237288135594,0.5254237288135594,0.847457627118644,94.20338983050847,2.0
MME_aligned_cases,aligned_normalized_label_exact,10,0.8,0.8,0.8,1.0,3.8,1.0
MyGene2_aligned_cases,aligned_normalized_label_exact,33,0.8484848484848485,0.8787878787878788,0.9090909090909091,0.9090909090909091,25.060606060606062,1.0
RAMEDIS_aligned_cases,aligned_normalized_label_exact,217,0.7649769585253456,0.8387096774193549,0.8847926267281107,0.9585253456221198,11.68663594470046,1.0
mimic_test_recleaned_mondo_hpo_rows_aligned_cases,aligned_normalized_label_exact,1868,0.15792291220556745,0.24411134903640258,0.29925053533190576,0.569593147751606,463.6852248394004,32.0
ALL,aligned_normalized_label_exact,2972,0.25942126514131897,0.34993270524899056,0.40141318977119783,0.6584791386271871,362.1897711978466,14.0
DDD,original_top50_any_normalized_label,761,0.3140604467805519,0.4323258869908016,0.4730617608409987,0.7529566360052562,247049.3311432326,7.0
HMS,original_top50_any_normalized_label,25,0.4,0.44,0.6,0.8,200005.28,4.0
LIRICAL,original_top50_any_normalized_label,59,0.4576271186440678,0.5254237288135594,0.5254237288135594,0.847457627118644,152548.50847457626,2.0
MME,original_top50_any_normalized_label,10,0.8,0.8,0.8,1.0,3.8,1.0
MyGene2,original_top50_any_normalized_label,33,0.8484848484848485,0.8787878787878788,0.9090909090909091,0.9090909090909091,90910.0303030303,1.0
RAMEDIS,original_top50_any_normalized_label,217,0.7695852534562212,0.8387096774193549,0.8847926267281107,0.9585253456221198,41476.77880184332,1.0
mimic_test_recleaned_mondo_hpo_rows,original_top50_any_normalized_label,1873,0.17351841964762413,0.2610784837159637,0.3214095034703684,0.602242391884677,397764.30806193274,28.0
ALL,original_top50_any_normalized_label,2978,0.2699798522498321,0.3623237071860309,0.41571524513096036,0.677971793149765,322034.28945601074,12.0
