type,path,exists,size_bytes,sha256,mtime,notes
manifest,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,true,11732,a72b4eccf061bb566dcf3e4644b919ced1bc8538fd4e0dc86e494b2fb12b370c,2026-04-28T17:40:46,run manifest
config,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage1_pretrain.yaml,true,1835,fcb17040eb4ffe1e74ccf9c37e9a6a854f454491ed0b8ecf0faffecbdb6b043d,2026-04-28T17:19:49,stage1 pretrain config
config,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml,true,2914,d4ede580d7d30b32a34a788d37ee697ababe20170d57029d2615de9e2e0ef931,2026-04-28T17:19:49,stage2 finetune config
config,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage3_exact_eval_train.yaml,true,2916,75f7946a622d4f5bf1f1921e41eef3e7a992cc8d102d23a1342d90b0ea686695,2026-04-28T17:19:49,stage3 eval train config
checkpoint,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage1_pretrain\checkpoints\best.pt,true,93748043,SKIPPED_HASH_LARGE_FILE,2026-04-28T17:23:30,stage1 best checkpoint; SKIPPED_HASH_LARGE_FILE
checkpoint,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,true,93749323,SKIPPED_HASH_LARGE_FILE,2026-04-28T17:33:20,stage2 best checkpoint; SKIPPED_HASH_LARGE_FILE
result,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv,true,1141082,a451eb064b97590658946a19d685c1df42dbc42ab8c9a7d25eed274f4b3feeaf,2026-04-28T17:36:32,exact eval details
result,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_per_dataset.csv,true,988,0519b33205bc0314ef66afe9d763dc16ffbb5ac0391f430eab21c670cab85bca,2026-04-28T17:36:32,exact eval per dataset
result,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_summary.json,true,19814,cd1cb9c2e2efb58aa5b27e1f874255c8d8e719af1d951252cbd03c0cdb1c27a5,2026-04-28T17:36:32,exact eval summary
candidate,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv,true,30118438,bc56a5b22c86014e74f222627e1ae7e34e06c731b93f82becba8ba96c1127f71,2026-04-28T17:37:44,validation top50 candidates
candidate,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv,true,43605533,8a51ad3ed1179a7a385d9023507d5a23f1a5f569d4d1ed0ec93a5168883c5d3d,2026-04-28T17:38:26,test top50 candidates
candidate_metadata,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.metadata.json,true,1748,fca44e98c2fa48735cd85fb0c5b6412717f5f9ae8bb1cb97ddbd4a33b11998df,2026-04-28T17:37:44,validation candidate metadata
candidate_metadata,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.metadata.json,true,1736,006c2eb1b896618dda46f4b0e154375c5afbb2a30ebb06628f0fd2897c32a385,2026-04-28T17:38:26,test candidate metadata
