mondo_id,disease_name,num_v59_hpo,num_authoritative_phenotypes,has_provided_name,has_synonym,has_external_id,has_gene,has_inheritance,has_onset,has_clinical_course,has_confirmatory_tests,confirmatory_test_status,has_authoritative_differential_diagnosis,has_candidate_mimics_for_rerank,has_authoritative_phenotype_source,has_obsolete_mondo,has_obsolete_hpo,num_sources,best_evidence_level,low_confidence_card,needs_manual_review,missing_fields,final_card_status,review_priority,recommended_rerank_handling
MONDO:0012173,long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,25,29,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0007037,achondroplasia,39,70,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0010537,Borjeson-Forssman-Lehmann syndrome,35,52,False,True,True,True,True,False,False,False,not_found,False,True,True,False,True,7,A,True,True,provided_name;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,manual_review_required,high,include_only_with_warning_or_downweight; review_mapping_or_missing_authoritative_evidence_before_primary_explanation
MONDO:0015768,trisomy 5p,17,17,False,True,True,False,False,False,False,False,not_found,False,True,True,False,False,5,A,True,True,provided_name;genes;inheritance;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,manual_review_required,high,include_only_with_warning_or_downweight; review_mapping_or_missing_authoritative_evidence_before_primary_explanation
MONDO:0958278,neurodevelopmental disorder with hypotonia and characteristic brain abnormalities,49,51,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0958279,megalencephaly-polydactyly syndrome,33,38,False,False,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0958322,"intellectual developmental disorder, X-linked, syndromic 37",193,199,False,False,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0958323,neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities,30,30,False,False,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0958324,"generalized epilepsy with febrile seizures plus, type 12",9,9,False,False,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0958325,thrombocytopenia 12 with or without myopathy,8,11,False,False,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
