mondo_id,provided_name,mondo_preferred_name,match_type,has_synonym_match,possible_name_conflict,action_recommendation,notes
MONDO:0012173,NOT_FOUND,long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0007037,NOT_FOUND,achondroplasia,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0010537,NOT_FOUND,Borjeson-Forssman-Lehmann syndrome,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0015768,NOT_FOUND,trisomy 5p,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958278,NOT_FOUND,neurodevelopmental disorder with hypotonia and characteristic brain abnormalities,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958279,NOT_FOUND,megalencephaly-polydactyly syndrome,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958322,NOT_FOUND,"intellectual developmental disorder, X-linked, syndromic 37",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958323,NOT_FOUND,neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958324,NOT_FOUND,"generalized epilepsy with febrile seizures plus, type 12",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958325,NOT_FOUND,thrombocytopenia 12 with or without myopathy,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958326,NOT_FOUND,macular dystrophy with or without cone dysfunction,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958328,NOT_FOUND,Seckel syndrome 11,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958329,NOT_FOUND,Jeffries-Lakhani neurodevelopmental syndrome,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958330,NOT_FOUND,developmental and epileptic encephalopathy 113,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0015769,NOT_FOUND,distal trisomy 6p,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958331,NOT_FOUND,developmental and epileptic encephalopathy 114,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958332,NOT_FOUND,"neuromuscular disorder, congenital, with dysmorphic facies",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958333,NOT_FOUND,"thrombocytopenia 13, syndromic",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958334,NOT_FOUND,"pulmonary hypertension, primary, 6",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0958335,NOT_FOUND,"cutis laxa, autosomal recessive, type 1d",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0968944,NOT_FOUND,"intellectual developmental disorder, autosomal recessive 82",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
