mondo_id,disease_name,has_onset,has_clinical_course,has_gene,has_inheritance,needs_manual_review,notes
MONDO:0012173,long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0007037,achondroplasia,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010537,Borjeson-Forssman-Lehmann syndrome,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0015768,trisomy 5p,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0958278,neurodevelopmental disorder with hypotonia and characteristic brain abnormalities,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958279,megalencephaly-polydactyly syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958322,"intellectual developmental disorder, X-linked, syndromic 37",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958323,neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958324,"generalized epilepsy with febrile seizures plus, type 12",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958325,thrombocytopenia 12 with or without myopathy,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958326,macular dystrophy with or without cone dysfunction,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958328,Seckel syndrome 11,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958329,Jeffries-Lakhani neurodevelopmental syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958330,developmental and epileptic encephalopathy 113,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0015769,distal trisomy 6p,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0958331,developmental and epileptic encephalopathy 114,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958332,"neuromuscular disorder, congenital, with dysmorphic facies",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958333,"thrombocytopenia 13, syndromic",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0958334,"pulmonary hypertension, primary, 6",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
